BEGIN_DATA,,,,
year,month,day,hour,demand
2016,2,9,17,257687
2016,2,9,18,253896
2016,2,9,19,249799
2016,2,9,20,246459
2016,2,9,21,243718
2016,2,9,22,242240
2016,2,9,23,243693
2016,2,9,24,249419
2016,2,10,1,258974
2016,2,10,2,264702
2016,2,10,3,265593
2016,2,10,4,261218
2016,2,10,5,251960
2016,2,10,6,241158
2016,2,10,7,232473
2016,2,10,8,226375
2016,2,10,9,223081
2016,2,10,10,221857
2016,2,10,11,224557
2016,2,10,12,233107
2016,2,10,13,250107
2016,2,10,14,265423
2016,2,10,15,268607
2016,2,10,16,265317
2016,2,10,17,261580
2016,2,10,18,255356
2016,2,10,19,249469
2016,2,10,20,245710
2016,2,10,21,242740
2016,2,10,22,241600
2016,2,10,23,242408
2016,2,10,24,248524
2016,2,11,1,258726
2016,2,11,2,265163
2016,2,11,3,266215
2016,2,11,4,262615
2016,2,11,5,254052
2016,2,11,6,242968
2016,2,11,7,233965
2016,2,11,8,228291
2016,2,11,9,224649
2016,2,11,10,223510
2016,2,11,11,225479
2016,2,11,12,234061
2016,2,11,13,251213
2016,2,11,14,265092
2016,2,11,15,266332
2016,2,11,16,261453
2016,2,11,17,256083
2016,2,11,18,249477
2016,2,11,19,243655
2016,2,11,20,239393
2016,2,11,21,236243
2016,2,11,22,234243
2016,2,11,23,235257
2016,2,11,24,240606
2016,2,12,1,250634
2016,2,12,2,257361
2016,2,12,3,258473
2016,2,12,4,254881
2016,2,12,5,246138
2016,2,12,6,235506
2016,2,12,7,225599
2016,2,12,8,218991
2016,2,12,9,215396
2016,2,12,10,213362
2016,2,12,11,214778
2016,2,12,12,222170
2016,2,12,13,237823
2016,2,12,14,251299
2016,2,12,15,254344
2016,2,12,16,253325
2016,2,12,17,251350
2016,2,12,18,247832
2016,2,12,19,243440
2016,2,12,20,240588
2016,2,12,21,238818
2016,2,12,22,237800
2016,2,12,23,237824
2016,2,12,24,240365
2016,2,13,1,246368
2016,2,13,2,249982
2016,2,13,3,249441
2016,2,13,4,246032
2016,2,13,5,239653
2016,2,13,6,231202
2016,2,13,7,223121
2016,2,13,8,217051
2016,2,13,9,212936
2016,2,13,10,211911
2016,2,13,11,212762
2016,2,13,12,216431
2016,2,13,13,223091
2016,2,13,14,231334
2016,2,13,15,238417
2016,2,13,16,242795
2016,2,13,17,243053
2016,2,13,18,240466
2016,2,13,19,236220
2016,2,13,20,231590
2016,2,13,21,228368
2016,2,13,22,226446
2016,2,13,23,227867
2016,2,13,24,233546
2016,2,14,1,244160
2016,2,14,2,250898
2016,2,14,3,252638
2016,2,14,4,251225
2016,2,14,5,246871
2016,2,14,6,239693
2016,2,14,7,232288
2016,2,14,8,227066
2016,2,14,9,223703
2016,2,14,10,221796
2016,2,14,11,221284
2016,2,14,12,223258
2016,2,14,13,228066
2016,2,14,14,233941
2016,2,14,15,239013
2016,2,14,16,241460
2016,2,14,17,240479
2016,2,14,18,237222
2016,2,14,19,234082
2016,2,14,20,230600
2016,2,14,21,227553
2016,2,14,22,226810
2016,2,14,23,228668
2016,2,14,24,234560
2016,2,15,1,243696
2016,2,15,2,248695
2016,2,15,3,248304
2016,2,15,4,243949
2016,2,15,5,236997
2016,2,15,6,228185
2016,2,15,7,219348
2016,2,15,8,213149
2016,2,15,9,209082
2016,2,15,10,206961
2016,2,15,11,208074
2016,2,15,12,213188
2016,2,15,13,224487
2016,2,15,14,236207
2016,2,15,15,243400
2016,2,15,16,247783
2016,2,15,17,250723
2016,2,15,18,251178
2016,2,15,19,249746
2016,2,15,20,247656
2016,2,15,21,245255
2016,2,15,22,243407
2016,2,15,23,243563
2016,2,15,24,247181
2016,2,16,1,252863
2016,2,16,2,255362
2016,2,16,3,253413
2016,2,16,4,246374
2016,2,16,5,235948
2016,2,16,6,223317
2016,2,16,7,212576
2016,2,16,8,204524
2016,2,16,9,199451
2016,2,16,10,196361
2016,2,16,11,196796
2016,2,16,12,202146
2016,2,16,13,215286
2016,2,16,14,229105
2016,2,16,15,235028
2016,2,16,16,236297
2016,2,16,17,236113
2016,2,16,18,234176
2016,2,16,19,231286
2016,2,16,20,229079
2016,2,16,21,227384
2016,2,16,22,226209
2016,2,16,23,227192
2016,2,16,24,231111
2016,2,17,1,238274
2016,2,17,2,242727
2016,2,17,3,242224
2016,2,17,4,236938
2016,2,17,5,226952
2016,2,17,6,214992
2016,2,17,7,205101
2016,2,17,8,198195
2016,2,17,9,193965
2016,2,17,10,192520
2016,2,17,11,193996
2016,2,17,12,201543
2016,2,17,13,217585
2016,2,17,14,232204
2016,2,17,15,236072
2016,2,17,16,235052
2016,2,17,17,232983
2016,2,17,18,230327
2016,2,17,19,227073
2016,2,17,20,225061
2016,2,17,21,223314
2016,2,17,22,222495
2016,2,17,23,223683
2016,2,17,24,227813
2016,2,18,1,235536
2016,2,18,2,241776
2016,2,18,3,242595
2016,2,18,4,238528
2016,2,18,5,229772
2016,2,18,6,218625
2016,2,18,7,209239
2016,2,18,8,203236
2016,2,18,9,199746
2016,2,18,10,199000
